CVE-2014-125062	AFFECTS_PRODUCT	PROD-BITSTORM-PROJECT-BITSTORM
CVE-2014-125062	HAS_WEAKNESS	CWE-89
CVE-2014-125063	AFFECTS_PRODUCT	PROD-BID-PROJECT-BID
CVE-2014-125063	HAS_WEAKNESS	CWE-89
CVE-2014-125065	AFFECTS_PRODUCT	PROD-BOTTLE-AUTH-PROJECT-BOTTLE-AUTH
CVE-2014-125065	HAS_WEAKNESS	CWE-89
CVE-2014-125066	AFFECTS_PRODUCT	PROD-YUKO-BOT-PROJECT-YUKO-BOT
CVE-2014-125066	HAS_WEAKNESS	CWE-404
CVE-2014-125067	AFFECTS_PRODUCT	PROD-CURIOSITY-PROJECT-CURIOSITY
CVE-2014-125067	HAS_WEAKNESS	CWE-89
CVE-2014-125071	AFFECTS_PRODUCT	PROD-GRIBBIT-PROJECT-GRIBBIT
CVE-2014-125071	HAS_WEAKNESS	CWE-1385
CVE-2014-125071	HAS_WEAKNESS	CWE-346
CVE-2014-125072	AFFECTS_PRODUCT	PROD-KLATTR-PROJECT-KLATTR
CVE-2014-125072	HAS_WEAKNESS	CWE-89
CVE-2014-125073	AFFECTS_PRODUCT	PROD-VOTEAPP-PROJECT-VOTEAPP
CVE-2014-125073	HAS_WEAKNESS	CWE-89
CVE-2014-125074	AFFECTS_PRODUCT	PROD-VOYAGER-PROJECT-VOYAGER
CVE-2014-125074	HAS_WEAKNESS	CWE-89
CVE-2014-125075	AFFECTS_PRODUCT	PROD-GMAIL-SERVLET-PROJECT-GMAIL-SERVLET
CVE-2014-125075	HAS_WEAKNESS	CWE-89
CVE-2014-125076	AFFECTS_PRODUCT	PROD-CRIMINALS-PROJECT-CRIMINALS
CVE-2014-125076	HAS_WEAKNESS	CWE-89
CVE-2015-10008	AFFECTS_PRODUCT	PROD-WEIPDCRM-PROJECT-WEIPDCRM
CVE-2015-10008	HAS_WEAKNESS	CWE-89
CVE-2015-10009	AFFECTS_PRODUCT	PROD-NONFICTION-NTERCHANGE
CVE-2015-10009	HAS_WEAKNESS	CWE-94
CVE-2015-10011	AFFECTS_PRODUCT	PROD-CISCO-OPENRESOLVE
CVE-2015-10011	HAS_WEAKNESS	CWE-116
CVE-2015-10011	HAS_WEAKNESS	CWE-117
CVE-2015-10012	AFFECTS_PRODUCT	PROD-SUMOCODERS-FRAMEWORKUSERBUNDLE
CVE-2015-10012	HAS_WEAKNESS	CWE-209
CVE-2015-10014	AFFECTS_PRODUCT	PROD-UKE-PROJECT-UKE
CVE-2015-10014	HAS_WEAKNESS	CWE-89
CVE-2015-10015	AFFECTS_PRODUCT	PROD-GLIDERNET-OGN-LIVE
CVE-2015-10015	HAS_WEAKNESS	CWE-89
CVE-2015-10016	AFFECTS_PRODUCT	PROD-OPENSIM-UTILS-PROJECT-OPENSIM-UTILS
CVE-2015-10016	HAS_WEAKNESS	CWE-89
CVE-2015-10017	AFFECTS_PRODUCT	PROD-HPI-PROLOD
CVE-2015-10017	HAS_WEAKNESS	CWE-89
CVE-2015-10018	AFFECTS_PRODUCT	PROD-WEBERP-D2FILES
CVE-2015-10018	HAS_WEAKNESS	CWE-89
CVE-2015-10022	AFFECTS_PRODUCT	PROD-NLGIS2-PROJECT-NLGIS2
CVE-2015-10022	HAS_WEAKNESS	CWE-89
CVE-2015-10023	AFFECTS_PRODUCT	PROD-TRELLO-OCTOMETRIC-PROJECT-TRELLO-OCTOMETRIC
CVE-2015-10023	HAS_WEAKNESS	CWE-89
CVE-2015-10024	AFFECTS_PRODUCT	PROD-LARASYNC-PROJECT-LARASYNC
CVE-2015-10024	HAS_WEAKNESS	CWE-22
CVE-2015-10025	AFFECTS_PRODUCT	PROD-MINICONF-PROJECT-MINICONF
CVE-2015-10025	HAS_WEAKNESS	CWE-404
CVE-2015-10026	AFFECTS_PRODUCT	PROD-FLAIRBOT-PROJECT-FLAIRBOT
CVE-2015-10026	HAS_WEAKNESS	CWE-89
CVE-2015-10027	AFFECTS_PRODUCT	PROD-TTRRS-AUTH-LDAP-PROJECT-TTRRS-AUTH-LDAP
CVE-2015-10027	HAS_WEAKNESS	CWE-74
CVE-2015-10027	HAS_WEAKNESS	CWE-90
CVE-2015-10029	AFFECTS_PRODUCT	PROD-SIMPLEXRD-PROJECT-SIMPLEXRD
CVE-2015-10029	HAS_WEAKNESS	CWE-611
CVE-2015-10031	AFFECTS_PRODUCT	PROD-GITHUB-491-PROJECT
CVE-2015-10031	HAS_WEAKNESS	CWE-89
CVE-2015-10034	AFFECTS_PRODUCT	PROD-WORKOUT-ORGANIZER-PROJECT-WORKOUT-ORGANIZER
CVE-2015-10034	HAS_WEAKNESS	CWE-89
CVE-2015-10035	AFFECTS_PRODUCT	PROD-ANGULAR-TEST-REPORTER-PROJECT-ANGULAR-TEST-REPORTER
CVE-2015-10035	HAS_WEAKNESS	CWE-89
CVE-2015-10036	AFFECTS_PRODUCT	PROD-DRONFELIPE-PROJECT-DRONFELIPE
CVE-2015-10036	HAS_WEAKNESS	CWE-89
CVE-2015-10037	AFFECTS_PRODUCT	PROD-ACI-ESCOLA-PROJECT-ACI-ESCOLA
CVE-2015-10037	HAS_WEAKNESS	CWE-89
CVE-2015-10038	AFFECTS_PRODUCT	PROD-PPLV2-PROJECT-PPLV2
CVE-2015-10038	HAS_WEAKNESS	CWE-89
CVE-2015-10039	AFFECTS_PRODUCT	PROD-DOMINO-PROJECT-DOMINO
